id,owner_clean,cleaning_fee,manegement_fee_pct,contract_signed_date,listing_date,first_booking_date,,,,,,,,,,,,,
5934AH,5934 Colodny Drive,,,,,,,,,,,,,,,,,,
617G,617 Glendora,,,,,,,,,,,,,,,,,,
6214SG,6214 N Burton San G,,,,,,,,,,,,,,,,,,
645TO,645 Martinique TO,,,,,,,,,,,,,,,,,,
7931AR,"7931 A, Rosemead",,20%Net,2025/1/15,,,,,,,,,,,,,,,
7931BR,"7931 B, Rosemead",,20%Net,2025/1/15,,,,,,,,,,,,,,,
7931CR,"7931 C, Rosemead",,20%Net,2025/1/15,,,,,,,,,,,,,,,
8205RC,8205 Rancho,,20%Net,2024/11/15,,,,,,,,,,,,,,,
8207RC,8207 Rancho,,20%Net,2024/11/15,,,,,,,,,,,,,,,
828G,828 Invergarry St,,,,,,,,,,,,,,,,,,
834G,834 Glendora,,,,,,,,,,,,,,,,,,
31B,Budapest 31,,,,,,,,,,,,,,,,,,
EO,Esterillos oeste,,,,,,,,,,,,,,,,,,
1201GG,GLAMP 1201 Glendora,,,,,,,,,,,,,,,,,,
503GG,GLAMP 503 Glendora,,,,,,,,,,,,,,,,,,
Lake1A,Lake #1 Altadena,,,,,,,,,,,,,,,,,,
Lake3A,Lake #3 Altadena,,,,,,,,,,,,,,,,,,
Lake4A,Lake #4 Altadena,,,,,,,,,,,,,,,,,,
Lake5A,Lake #5 Altadena,,,,,,,,,,,,,,,,,,
Lake6A,Lake #6 Altadena,,,,,,,,,,,,,,,,,,
Lake8A,Lake #8 Altadena,,,,,,,,,,,,,,,,,,
